"DefaultValue","CustomValue"
"This is information about how the product is typically stored and reordered.","This is information about how the product is typically stored and reordered."
"This is the 3 letter code for the currency used for this order (e.g. USD, GBP, CAD, CNY, JPY)","This is the 3 letter code for the currency used for this order (e.g. USD, GBP, CAD, CNY, JPY)"
"This is the actual amount that was refunded to you by the vendor.","This is the actual amount that was refunded to you by the vendor."
"This is the actual amount that was refunded to your customer.","This is the actual amount that was refunded to your customer."
"This is the address of the vendor.","This is the address of the vendor."
"This is the address of your company.","This is the address of your company."
"This is the address to which the purchase order should be shipped.","This is the address to which the purchase order should be shipped."
"This is the address to which the sales order will be shipped.","This is the address to which the sales order will be shipped."
"This is the amount charged to the customer for freight/shipping.","This is the amount charged to the customer for freight/shipping."
"This is the amount of payment received for this invoice.","This is the amount of payment received for this invoice."
"This is the amount of primary tax charged on the purchase order.","This is the amount of primary tax charged on the purchase order."
"This is the amount of primary tax charged.","This is the amount of primary tax charged."
"This is the amount of primary tax refunded.","This is the amount of primary tax refunded."
"This is the amount of primary tax to be refunded.","This is the amount of primary tax to be refunded."
"This is the amount of secondary tax charged.","This is the amount of secondary tax charged."
"This is the amount of secondary tax refunded.","This is the amount of secondary tax refunded."
"This is the amount of secondary tax to be refunded.","This is the amount of secondary tax to be refunded."
"This is the amount to be refunded before any restocking fees.","This is the amount to be refunded before any restocking fees."
"This is the amount you have already paid the vendor for this order.","This is the amount you have already paid the vendor for this order."
"This is the barcode of the product.","This is the barcode of the product."
"This is the billing address of this customer.","This is the billing address of this customer."
"This is the category in which this product has been classified.","This is the category in which this product has been classified."
"This is the component item that will be used up to produce the finished product.","This is the component item that will be used up to produce the finished product."
"This is the contact person for the customer.","This is the contact person for the customer."
"This is the contact person for this customer.","This is the contact person for this customer."
"This is the conversion factor between the Purchasing UoM and the Standard UoM.  e.g. 1 case = 24 pieces.","This is the conversion factor between the Purchasing UoM and the Standard UoM.  e.g. 1 case = 24 pieces."
"This is the conversion factor between the Purchasing UoM and the Standard UoM.  e.g. for 1 Purchasing UoM = 12 Standard UoM, set this to 1.","This is the conversion factor between the Purchasing UoM and the Standard UoM.  e.g. for 1 Purchasing UoM = 12 Standard UoM, set this to 1."
"This is the conversion factor between the Purchasing UoM and the Standard UoM.  e.g. for 1 Purchasing UoM = 12 Standard UoM, set this to 12.","This is the conversion factor between the Purchasing UoM and the Standard UoM.  e.g. for 1 Purchasing UoM = 12 Standard UoM, set this to 12."
"This is the conversion factor between the Sales UoM and the Standard UoM.  e.g. 1 pack = 3 pieces.","This is the conversion factor between the Sales UoM and the Standard UoM.  e.g. 1 pack = 3 pieces."
"This is the conversion factor between the Sales UoM and the Standard UoM.  e.g. for 1 Sales UoM = 3 Standard UoM, set this to 1.","This is the conversion factor between the Sales UoM and the Standard UoM.  e.g. for 1 Sales UoM = 3 Standard UoM, set this to 1."
"This is the conversion factor between the Sales UoM and the Standard UoM.  e.g. for 1 Sales UoM = 3 Standard UoM, set this to 3.","This is the conversion factor between the Sales UoM and the Standard UoM.  e.g. for 1 Sales UoM = 3 Standard UoM, set this to 3."
"This is the conversion rate between 1 unit of your home currency and the currency used in this order.","This is the conversion rate between 1 unit of your home currency and the currency used in this order."
"This is the currency the vendor usually charges you in.","This is the currency the vendor usually charges you in."
"This is the current status of the count sheet.","This is the current status of the count sheet."
"This is the current status of the purchase order.","This is the current status of the purchase order."
"This is the current status of the Sales Order.","This is the current status of the Sales Order."
"This is the current status of the work order.","This is the current status of the work order."
"This is the customer for this sales order.  This is required.  If you don't want to enter customer details for each order, you could create one generic customer entry to use every time, e.g. ""Store Customer"".","This is the customer for this sales order.  This is required.  If you don't want to enter customer details for each order, you could create one generic customer entry to use every time, e.g. ""Store Customer""."
"This is the customer's credit card number.","This is the customer's credit card number."
"This is the customer's credit card's security code that is printed at the back of the credit card for additional security purposes.","This is the customer's credit card's security code that is printed at the back of the credit card for additional security purposes."
"This is the customer's purchase order number for this sales order.","This is the customer's purchase order number for this sales order."
"This is the date of payment received.","This is the date of payment received."
"This is the date of the purchase order when it was placed.","This is the date of the purchase order when it was placed."
"This is the date on which this sales order was placed.","This is the date on which this sales order was placed."
"This is the date that the invoice was sent.","This is the date that the invoice was sent."
"This is the date that the payment for this sales order is due.","This is the date that the payment for this sales order is due."
"This is the date that the purchase order was paid.","This is the date that the purchase order was paid."
"This is the date the assembly process was completed.","This is the date the assembly process was completed."
"This is the date the cycle/physical counting process was completed.","This is the date the cycle/physical counting process was completed."
"This is the date the order was placed.","This is the date the order was placed."
"This is the date which the products were returned.","This is the date which the products were returned."
"This is the date which the sales order should be shipped.","This is the date which the sales order should be shipped."
"This is the date which was requested the purchase order be delivered.","This is the date which was requested the purchase order be delivered."
"This is the default currency your company uses.","This is the default currency your company uses."
"This is the default discount that you will apply on orders for this customer.","This is the default discount that you will apply on orders for this customer."
"This is the default location that you want to use when entering in orders or moving inventory.","This is the default location that you want to use when entering in orders or moving inventory."
"This is the default measurement unit for the lengths of your products.","This is the default measurement unit for the lengths of your products."
"This is the default measurement unit for the weights of your products.","This is the default measurement unit for the weights of your products."
"This is the default number of units of the product which will be reordered when the quantity falls below the Reorder Point.","This is the default number of units of the product which will be reordered when the quantity falls below the Reorder Point."
"This is the default payment terms to be used for this customer.","This is the default payment terms to be used for this customer."
"This is the default pricing scheme (including the currency) to be charged for this customer's orders.","This is the default pricing scheme (including the currency) to be charged for this customer's orders."
"This is the default pricing scheme (including which currency) to be charged for this customer's orders.","This is the default pricing scheme (including which currency) to be charged for this customer's orders."
"This is the default pricing scheme to be charged for this customer's orders.","This is the default pricing scheme to be charged for this customer's orders."
"This is the default primary location where you want to store this product.","This is the default primary location where you want to store this product."
"This is the default product Tax Code for your company.","This is the default product Tax Code for your company."
"This is the default sublocation where you want to store this product.","This is the default sublocation where you want to store this product."
"This is the default taxing scheme used for orders and invoices.","This is the default taxing scheme used for orders and invoices."
"This is the default text/label in English.","This is the default text/label in English."
"This is the default type of tax to be charged by this vendor.","This is the default type of tax to be charged by this vendor."
"This is the default type of tax to be charged for this customer.","This is the default type of tax to be charged for this customer."
"This is the due date for the payment of this order.","This is the due date for the payment of this order."
"This is the email address of the customer.","This is the email address of the customer."
"This is the email address to contact regarding this order.","This is the email address to contact regarding this order."
"This is the email for the vendor.","This is the email for the vendor."
"This is the estimated volume of the packed boxes.  If no boxes are packed yet, then inFlow will estimate using the ordered quantities.","This is the estimated volume of the packed boxes.  If no boxes are packed yet, then inFlow will estimate using the ordered quantities."
"This is the estimated weight of the packed boxes.  If no boxes are packed yet, then inFlow will estimate using the ordered quantities.","This is the estimated weight of the packed boxes.  If no boxes are packed yet, then inFlow will estimate using the ordered quantities."
"This is the expiration date on the customer's credit card.","This is the expiration date on the customer's credit card."
"This is the fax number of the customer.","This is the fax number of the customer."
"This is the fax number of the vendor.","This is the fax number of the vendor."
"This is the final amount that the customer should pay for this invoice.","This is the final amount that the customer should pay for this invoice."
"This is the final amount that the customer should pay for this order.","This is the final amount that the customer should pay for this order."
"This is the final amount to be refunded or credited to the customer.","This is the final amount to be refunded or credited to the customer."
"This is the final amount to be refunded or credited to you by the vendor.","This is the final amount to be refunded or credited to you by the vendor."
"This is the final price of the purchase order charged to you by the vendor.","This is the final price of the purchase order charged to you by the vendor."
"This is the height of a single unit of this product.","This is the height of a single unit of this product."
"This is the inventory location where the stock is being updated.","This is the inventory location where the stock is being updated."
"This is the inventory sublocation (e.g. aisle number) where the stock is being updated.","This is the inventory sublocation (e.g. aisle number) where the stock is being updated."
"This is the invoice sub-total before taxes or other additional charges are applied.","This is the invoice sub-total before taxes or other additional charges are applied."
"This is the item name/code of the item ordered.","This is the item name/code of the item ordered."
"This is the language of the custom text/labels.","This is the language of the custom text/labels."
"This is the language to be displayed on the user interface and printed documents.","This is the language to be displayed on the user interface and printed documents."
"This is the last step...","This is the last step..."
"This is the last vendor from whom you purchased this product.  This is usually automatically set by inFlow.","This is the last vendor from whom you purchased this product.  This is usually automatically set by inFlow."
"This is the last vendor that we purchased this product from.  It will be automatically set when completing a purchase order for this product.","This is the last vendor that we purchased this product from.  It will be automatically set when completing a purchase order for this product."
"This is the last vendor this product was purchased from.  It will be automatically set when completing a purchase order for this product.","This is the last vendor this product was purchased from.  It will be automatically set when completing a purchase order for this product."
"This is the length of a single unit of this product.","This is the length of a single unit of this product."
"This is the Location for this order.  Products will usually be picked and put away here.","This is the Location for this order.  Products will usually be picked and put away here."
"This is the Location for this order.  Products will usually be picked from here.","This is the Location for this order.  Products will usually be picked from here."
"This is the Location for this order.  Products will usually be received into here.","This is the Location for this order.  Products will usually be received into here."
"This is the location used by default if no other location is set for your products or the current user.","This is the location used by default if no other location is set for your products or the current user."
"This is the minimum number of units of the product which will be reordered when the quantity falls below the Reorder Point.","This is the minimum number of units of the product which will be reordered when the quantity falls below the Reorder Point."
"This is the minimum number of units which will trigger the need for a reorder.","This is the minimum number of units which will trigger the need for a reorder."
"This is the name of the contact person for this vendor.","This is the name of the contact person for this vendor."
"This is the name of the customer for this order.","This is the name of the customer for this order."
"This is the name of the customer.","This is the name of the customer."
"This is the name of the primary contact person for this order.","This is the name of the primary contact person for this order."
"This is the name of the taxing scheme charged on this order.","This is the name of the taxing scheme charged on this order."
"This is the name of the user.","This is the name of the user."
"This is the name of your company.","This is the name of your company."
"This is the name or code for this vendor.","This is the name or code for this vendor."
"This is the name or code of the customer.","This is the name or code of the customer."
"This is the name or code of the finished item for this bill of materials.","This is the name or code of the finished item for this bill of materials."
"This is the name or code of the product being imported.","This is the name or code of the product being imported."
"This is the name or code of the product.","This is the name or code of the product."
"This is the name or code of the vendor.","This is the name or code of the vendor."
"This is the number of units that you currently have of this product in its default location.","This is the number of units that you currently have of this product in its default location."
"This is the order sub-total before taxes or other additional charges are applied.","This is the order sub-total before taxes or other additional charges are applied."
"This is the password of the user.","This is the password of the user."
"This is the payment method that this customer prefers to use.","This is the payment method that this customer prefers to use."
"This is the payment method used for receving the payment.","This is the payment method used for receving the payment."
"This is the payment method used for the purchase order.","This is the payment method used for the purchase order."
"This is the payment method used for the received payment.","This is the payment method used for the received payment."
"This is the payment term for this sales order.","This is the payment term for this sales order."
"This is the percentage of primary tax charged (e.g. 17.5)","This is the percentage of primary tax charged (e.g. 17.5)"
"This is the percentage of secondary tax charged","This is the percentage of secondary tax charged"
"This is the phone number for the vendor.","This is the phone number for the vendor."
"This is the phone number of the customer.","This is the phone number of the customer."
"This is the phone number of the vendor.","This is the phone number of the vendor."
"This is the phone number of this customer.","This is the phone number of this customer."
"This is the phone number to call regarding this order.","This is the phone number to call regarding this order."
"This is the price per Purchasing UOM that the Last Vendor charges you for this product.","This is the price per Purchasing UOM that the Last Vendor charges you for this product."
"This is the price per unit paid the last time you completed a purchase order for this item.","This is the price per unit paid the last time you completed a purchase order for this item."
"This is the price we paid to the vendor per purchasing UoM unit last time.  It only includes the vendor's base price, not taxes, freight, or non-vendor costs.  This will be automatically set when a purchase order for this product is completed.","This is the price we paid to the vendor per purchasing UoM unit last time.  It only includes the vendor's base price, not taxes, freight, or non-vendor costs.  This will be automatically set when a purchase order for this product is completed."
"This is the price you usually charge per unit.","This is the price you usually charge per unit."
"This is the pricing scheme (e.g. wholesale price) used for this order.","This is the pricing scheme (e.g. wholesale price) used for this order."
"This is the pricing scheme (e.g. wholesale price, this also specifies the currency) used for this order.","This is the pricing scheme (e.g. wholesale price, this also specifies the currency) used for this order."
"This is the pricing scheme (including the currency) used for this sales order.","This is the pricing scheme (including the currency) used for this sales order."
"This is the pricing scheme (including the currency) you charge to most of your customers.","This is the pricing scheme (including the currency) you charge to most of your customers."
"This is the pricing scheme used for this sales order.","This is the pricing scheme used for this sales order."
"This is the pricing scheme you charge to most of your customers.","This is the pricing scheme you charge to most of your customers."
"This is the primary contact person for this vendor.","This is the primary contact person for this vendor."
"This is the product code provided by the above vendor.","This is the product code provided by the above vendor."
"This is the product code that the Last Vendor uses for this product.","This is the product code that the Last Vendor uses for this product."
"This is the quantity of the component that will be used to produce the finished product.","This is the quantity of the component that will be used to produce the finished product."
"This is the quantity of this product that is not yet promised to a customer, so is available for sale.  This is also Quantity on Hand - Quantity Reserved.","This is the quantity of this product that is not yet promised to a customer, so is available for sale.  This is also Quantity on Hand - Quantity Reserved."
"This is the quantity stored in the given location/sublocation for the above product, in the standard unit of measurement.","This is the quantity stored in the given location/sublocation for the above product, in the standard unit of measurement."
"This is the remaining balance that this customer owes you.","This is the remaining balance that this customer owes you."
"This is the remaining balance that you owe the vendor for this Purchase Order.","This is the remaining balance that you owe the vendor for this Purchase Order."
"This is the remaining outstanding balance for this invoice.","This is the remaining outstanding balance for this invoice."
"This is the restocking fee for the returned products to be deducted from the customer refund.","This is the restocking fee for the returned products to be deducted from the customer refund."
"This is the restocking fee for the returned products to be deducted from the refund given to you by the vendor.","This is the restocking fee for the returned products to be deducted from the refund given to you by the vendor."
"This is the returned sub-total to be refunded before taxes or other adjustments are applied.","This is the returned sub-total to be refunded before taxes or other adjustments are applied."
"This is the returned sub-total to be refunded to you before taxes or other adjustments are applied.","This is the returned sub-total to be refunded to you before taxes or other adjustments are applied."
"This is the sales representative that will be used for sales orders entered by you (this user).","This is the sales representative that will be used for sales orders entered by you (this user)."
"This is the Sales Representative who took the sales order.","This is the Sales Representative who took the sales order."
"This is the shipping carrier that the vendor typically uses to ship to you.","This is the shipping carrier that the vendor typically uses to ship to you."
"This is the shipping carrier that this customer prefers to use.","This is the shipping carrier that this customer prefers to use."
"This is the start date of the assembly process.","This is the start date of the assembly process."
"This is the start date of the cycle/physical counting process.","This is the start date of the cycle/physical counting process."
"This is the subtotal charged by the vendor before taxes or other additional charges are applied.","This is the subtotal charged by the vendor before taxes or other additional charges are applied."
"This is the tax code which determines how the product is usually taxed.","This is the tax code which determines how the product is usually taxed."
"This is the tax exempt number for this customer (if applicable).","This is the tax exempt number for this customer (if applicable)."
"This is the taxing scheme charged for this purchase.","This is the taxing scheme charged for this purchase."
"This is the taxing scheme used for this sales order.","This is the taxing scheme used for this sales order."
"This is the text/label that you prefer to display.","This is the text/label that you prefer to display."
"This is the total balance owed to this vendor.","This is the total balance owed to this vendor."
"This is the total cost of the parts that are directly part of this bill of materials.","This is the total cost of the parts that are directly part of this bill of materials."
"This is the total cost of the work order other than raw materials for things like labor costs and overhead.","This is the total cost of the work order other than raw materials for things like labor costs and overhead."
"This is the total quantity of this product that we have ordered from vendors that has not yet been received, i.e. the extra amount we expect to receive.","This is the total quantity of this product that we have ordered from vendors that has not yet been received, i.e. the extra amount we expect to receive."
"This is the type of credit card that the customer prefers to use.","This is the type of credit card that the customer prefers to use."
"This is the unit of measure usually used when buying from vendors (e.g. cases, packs).  This should be left blank if it's the same as the standard unit of measure.","This is the unit of measure usually used when buying from vendors (e.g. cases, packs).  This should be left blank if it's the same as the standard unit of measure."
"This is the unit of measure usually used when selling to customers.  This should be left blank if it's the same as the standard unit of measure.","This is the unit of measure usually used when selling to customers.  This should be left blank if it's the same as the standard unit of measure."
"This is the vendor from which the purchase will be made.","This is the vendor from which the purchase will be made."
"This is the vendor's order number for your purchase order.  Note this will likely be different from your own order number.","This is the vendor's order number for your purchase order.  Note this will likely be different from your own order number."
"This is the website address of the customer.","This is the website address of the customer."
"This is the weight of a single unit of this product.","This is the weight of a single unit of this product."
"This is the width of a single unit of this product.","This is the width of a single unit of this product."
"This is where you set the exchange rate from the currency of your current Pricing Scheme to your home currency.","This is where you set the exchange rate from the currency of your current Pricing Scheme to your home currency."
"This is where you set the exchange rate from the Purchase Order's currency to your home currency.","This is where you set the exchange rate from the Purchase Order's currency to your home currency."
"This is your company email address.","This is your company email address."
"This is your company fax number.","This is your company fax number."
"This is your company logo.","This is your company logo."
"This is your company phone number.","This is your company phone number."
"This is your company website address.","This is your company website address."
"This is your order number for this purchase order.","This is your order number for this purchase order."
"This item name/code is already in use.","This item name/code is already in use."
"This Month","This Month"
"This purchase order number is already in use.","This purchase order number is already in use."
"This Quarter","This Quarter"
"This represents how raw materials are put together to form finished products.  You can rearrange components by dragging and dropping.","This represents how raw materials are put together to form finished products.  You can rearrange components by dragging and dropping."
"This resets the components (raw materials) of the currently selected item to be the standard components in the bill of materials definition.","This resets the components (raw materials) of the currently selected item to be the standard components in the bill of materials definition."
"This resets the components (raw materials) of the currently selected item to be the standard components in the product assembly definition.","This resets the components (raw materials) of the currently selected item to be the standard components in the product assembly definition."
"This short questionnaire helps you set up inFlow, but you can change your options through Settings later on.","This short questionnaire helps you set up inFlow, but you can change your options through Settings later on."
"This short wizard helps you set up inFlow, but you can always change your options through <a action=""600"" tab=""102"">Settings</a> later on.","This short wizard helps you set up inFlow, but you can always change your options through <a action=""600"" tab=""102"">Settings</a> later on."
"This should typically be the fastest computer you have. The server computer should be kept turned on all the time, or whenever anyone may want to use inFlow.","This should typically be the fastest computer you have. The server computer should be kept turned on all the time, or whenever anyone may want to use inFlow."
"This three-minute video will help you understand what inFlow is all about.","This three-minute video will help you understand what inFlow is all about."
"This user login is already in use (possibly by an inactive user).","This user login is already in use (possibly by an inactive user)."
"This user name is already in use (possibly by an inactive user).","This user name is already in use (possibly by an inactive user)."
"This vendor name is already in use.","This vendor name is already in use."
"This Week","This Week"
"This will change the current server password.  Any client computers that connect to the server will also need to change to the new server password.","This will change the current server password.  Any client computers that connect to the server will also need to change to the new server password."
"This will change the current server password.  Any client computers that connect to the server will also need to change to the new server password.\r\n","This will change the current server password.  Any client computers that connect to the server will also need to change to the new server password.\r\n"
"This will de-activate your copy of inFlow and downgrade it to Free Edition.  Proceed?","This will de-activate your copy of inFlow and downgrade it to Free Edition.  Proceed?"
"This will show up on printed documents and can be used to show Tax #, VAT #, GST #, company slogan, etc.","This will show up on printed documents and can be used to show Tax #, VAT #, GST #, company slogan, etc."
"This Year","This Year"
"TIMELINE","TIMELINE"
"Time's running out!  Get a healthy 4% off discount.  <a action=""605"" tab=""100"">Upgrade Now</a>, and save your business some money today!","Time's running out!  Get a healthy 4% off discount.  <a action=""605"" tab=""100"">Upgrade Now</a>, and save your business some money today!"
"Tip","Tip"
"to","to"
"To","To"
"To get this update, ask your administrator to update inFlow on the server computer first.","To get this update, ask your administrator to update inFlow on the server computer first."
"To Location","To Location"
"To purchase the upgrade, please follow these steps:","To purchase the upgrade, please follow these steps:"
"To revert back to an older version, visit www.inflowinventory.com and download a patch for the older versions of the software.","To revert back to an older version, visit www.inflowinventory.com and download a patch for the older versions of the software."
"To revert back to an older version, you must restore the database to an older version of the database from an updated copy of inFlow first.  Then you can revert the software version.","To revert back to an older version, you must restore the database to an older version of the database from an updated copy of inFlow first.  Then you can revert the software version."
"To Sublocation","To Sublocation"
"To switch to multi-user mode, you'll need to pick a computer to act as the server for inFlow.","To switch to multi-user mode, you'll need to pick a computer to act as the server for inFlow."
"To switch to multi-user mode, you'll need to pick a computer to act as the server for inFlow.  \r\n\r\nThis should typically be the fastest computer you have. The server computer should be kept turned on all the time, or whenever anyone may want to use inFlow.","To switch to multi-user mode, you'll need to pick a computer to act as the server for inFlow.  \r\n\r\nThis should typically be the fastest computer you have. The server computer should be kept turned on all the time, or whenever anyone may want to use inFlow."
"To switch to multi-user mode, you'll need to pick a computer to act as the server for inFlow.  \r\nThis should typically be the fastest computer you have. The server computer should be kept turned on all the time, or whenever anyone may want to use inFlow.","To switch to multi-user mode, you'll need to pick a computer to act as the server for inFlow.  \r\nThis should typically be the fastest computer you have. The server computer should be kept turned on all the time, or whenever anyone may want to use inFlow."
"Today","Today"
"ToDo List,","ToDo List,"
"Tomorrow","Tomorrow"
"Top","Top"
"TOP","TOP"
"Top 10 Product w/ Highest Qty Available","Top 10 Product w/ Highest Qty Available"
"Top 5 PRODUCTS","Top 5 PRODUCTS"
"Top List, Type:","Top List, Type:"
"Total","Total"
"Total Cost","Total Cost"
"Total Cost Value","Total Cost Value"
"Total Costs","Total Costs"
"Total From","Total From"
"Total number of {0} displayed: {1}","Total number of {0} displayed: {1}"
"Total Ordered","Total Ordered"
"Total Paid","Total Paid"
"Total Picked","Total Picked"
"Total Profit","Total Profit"
"Total Qty","Total Qty"
"Total Received","Total Received"
"Total Refunded","Total Refunded"
"Total Required","Total Required"
"Total Sales","Total Sales"
"Total Sales Price of Components","Total Sales Price of Components"
"Total Sales Value","Total Sales Value"
"Total Size After:","Total Size After:"
"Total Size Before:","Total Size Before:"
"Total Tax","Total Tax"
"Total To","Total To"
"Tracking #","Tracking #"
"Tracking Number","Tracking Number"
"Transaction History","Transaction History"
"Transaction Type","Transaction Type"
"Transfer Stock","Transfer Stock"
"Transfer stock from one location to another.","Transfer stock from one location to another."
"Transfer the stock between the specified locations and update inventory quantities.","Transfer the stock between the specified locations and update inventory quantities."
"Tree view confused when try to make your data hierarchical.","Tree view confused when try to make your data hierarchical."
"Trial Edition Set!","Trial Edition Set!"
"Trial hardware information has a syntax error","Trial hardware information has a syntax error"
"Trial info has a syntax error","Trial info has a syntax error"
"Trial info has a syntax error in the date","Trial info has a syntax error in the date"
"Trial info is not for the right trial key","Trial info is not for the right trial key"
"Trial key does not match the specified hardware info","Trial key does not match the specified hardware info"
"Trial key is invalid.","Trial key is invalid."
"Trial key is not valid right now","Trial key is not valid right now"
"Tried requesting a trial key online but failed.  Please try again, or use the offline request method.","Tried requesting a trial key online but failed.  Please try again, or use the offline request method."
"Troubleshooting","Troubleshooting"
"Trouble-Shooting","Trouble-Shooting"
"Troubleshooting Logs:","Troubleshooting Logs:"
"True","True"
"Try &Online Activation Again","Try &Online Activation Again"
"Try &Online Again","Try &Online Again"
"Try with sample data","Try with sample data"
"Trying to activate inFlow, please wait...","Trying to activate inFlow, please wait..."
"Trying to connect...","Trying to connect..."
"Trying to Connect...","Trying to Connect..."
"Turkey","Turkey"
"Turn off this option if you don't want inFlow to show you warnings before doing inventory transactions that would create negative inventory quantities at some location.","Turn off this option if you don't want inFlow to show you warnings before doing inventory transactions that would create negative inventory quantities at some location."
"Two shipped lines cannot contain the same container number.","Two shipped lines cannot contain the same container number."
"Type","Type"
"UK","UK"
"Unable to load troubleshooting url","Unable to load troubleshooting url"
"Unchanged","Unchanged"
"Underline","Underline"
"Unexpected error while trying to fix the problem.\r\nTry again.","Unexpected error while trying to fix the problem.\r\nTry again."
"Unexpected error while trying to troubleshoot connection","Unexpected error while trying to troubleshoot connection"
"Unexpected error.","Unexpected error."
"Unexpected exception when troubleshooting inFlow connection","Unexpected exception when troubleshooting inFlow connection"
"Unexpected exception when troubleshooting inFlow installation","Unexpected exception when troubleshooting inFlow installation"
"Unfortunately, your request for a trial has been denied.  It may be because you have already had a previous trial.  To purchase an upgrade, please visit our website at http://www.inflowinventory.com","Unfortunately, your request for a trial has been denied.  It may be because you have already had a previous trial.  To purchase an upgrade, please visit our website at http://www.inflowinventory.com"
"Unfortunately, your request for a trial has been denied.  It may be because you have already had a previous trial.  To purchase an upgrade, please visit our website at www.inflowinventory.com","Unfortunately, your request for a trial has been denied.  It may be because you have already had a previous trial.  To purchase an upgrade, please visit our website at www.inflowinventory.com"
"Unit Cost","Unit Cost"
"Unit of Measure","Unit of Measure"
"Unit Price","Unit Price"
"Unit Profit","Unit Profit"
"Unit Type (Length)","Unit Type (Length)"
"Unit Type (Weight)","Unit Type (Weight)"
"United Kingdom","United Kingdom"
"United States","United States"
"United States of America","United States of America"
"units","units"
"Units","Units"
"Units cannot be a number.","Units cannot be a number."
"Units of Measure","Units of Measure"
"Units of measurement for products.","Units of measurement for products."
"Unknown error backing up data.  Please check the log file and email support@inflowinventory.com","Unknown error backing up data.  Please check the log file and email support@inflowinventory.com"
"Unknown error connecting to inFlow Web Service","Unknown error connecting to inFlow Web Service"
"Unlimited","Unlimited"
"unlimited products + customers","unlimited products + customers"
"Unrecognized type","Unrecognized type"
"Unsharing your data","Unsharing your data"
"Unstock","Unstock"
"Unstocked ?","Unstocked ?"
"Unstocking","Unstocking"
"Unstocking all products...","Unstocking all products..."
"Unstocking for Purchase Orders","Unstocking for Purchase Orders"
"Unstocking quantity is more than returned quantity","Unstocking quantity is more than returned quantity"
"Update My Report","Update My Report"
"Update Sample Database Now!","Update Sample Database Now!"
"Update Software Now!","Update Software Now!"
"Update the currency the vendor normally charges you in.","Update the currency the vendor normally charges you in."
"Update the customer's billing address.","Update the customer's billing address."
"Update the customer's contact name.","Update the customer's contact name."
"Update the customer's payment method.","Update the customer's payment method."
"Update the customer's payment terms.","Update the customer's payment terms."
"Update the customer's phone number.","Update the customer's phone number."
"Update the customer's preferred shipping carrier.","Update the customer's preferred shipping carrier."
"Update the customer's shipping address.","Update the customer's shipping address."
"Update the default sales rep for the customer.","Update the default sales rep for the customer."
"Update the vendor's address.","Update the vendor's address."
"Update the vendor's contact name.","Update the vendor's contact name."
"Update the vendor's payment terms.","Update the vendor's payment terms."
"Update the vendor's product code when it's changed in a purchase order.","Update the vendor's product code when it's changed in a purchase order."
"Update to My Reports","Update to My Reports"
"Updating","Updating"
"Updating data...","Updating data..."
"Updating database now...","Updating database now..."
"Updating database.  Might take a few minutes...","Updating database.  Might take a few minutes..."
"Updating Product, Customer, and Vendor information from Orders","Updating Product, Customer, and Vendor information from Orders"
"Updating software now...","Updating software now..."
"Updating the software...","Updating the software..."
"Upgrade","Upgrade"
"upgrade easily any time. No need to re-install or re-enter anything when you upgrade.","upgrade easily any time. No need to re-install or re-enter anything when you upgrade."
"Upgrade inFlow","Upgrade inFlow"
"Upgrade Now","Upgrade Now"
"Upgrade Now!","Upgrade Now!"
"Upload Custom Document","Upload Custom Document"
"Uploaded on","Uploaded on"
"US","US"
"USA","USA"
"Use any of our existing templates for your documents.","Use any of our existing templates for your documents."
"Use Current Cost","Use Current Cost"
"Use inFlow to run your organization faster and better!","Use inFlow to run your organization faster and better!"
"Use offline articles.","Use offline articles."
"User","User"
"User decided not to reset database password","User decided not to reset database password"
"User does not exist","User does not exist"
"User Name","User Name"
"User not authorized to add a resource","User not authorized to add a resource"
"User not authorized to add CountSheet","User not authorized to add CountSheet"
"User not authorized to add CurrentQtyAdjustment","User not authorized to add CurrentQtyAdjustment"
"User not authorized to add CustomDocument","User not authorized to add CustomDocument"
"User not authorized to add Customer","User not authorized to add Customer"
"User not authorized to add DocTemplate","User not authorized to add DocTemplate"
"User not authorized to add DocTemplateOptions","User not authorized to add DocTemplateOptions"
"User not authorized to add FileAttachment","User not authorized to add FileAttachment"
"User not authorized to add inFlowMessage","User not authorized to add inFlowMessage"
"User not authorized to add inFlowMessageList","User not authorized to add inFlowMessageList"
"User not authorized to add inFlowMessageUser","User not authorized to add inFlowMessageUser"
"User not authorized to add inFlowUsage","User not authorized to add inFlowUsage"
"User not authorized to add LanguageResource","User not authorized to add LanguageResource"
"User not authorized to add PriceAdjustment","User not authorized to add PriceAdjustment"
"User not authorized to add Product","User not authorized to add Product"
"User not authorized to add PurchaseOrder","User not authorized to add PurchaseOrder"
"User not authorized to add ReceivingAddress","User not authorized to add ReceivingAddress"
"User not authorized to add ReorderStock","User not authorized to add ReorderStock"
"User not authorized to add SalesOrder","User not authorized to add SalesOrder"
"User not authorized to add SavedReportSettings","User not authorized to add SavedReportSettings"
"User not authorized to add StockAdjustment","User not authorized to add StockAdjustment"
"User not authorized to add StockTransfer","User not authorized to add StockTransfer"
"User not authorized to add User","User not authorized to add User"
"User not authorized to add UserPreferences","User not authorized to add UserPreferences"
"User not authorized to add Vendor","User not authorized to add Vendor"
"User not authorized to add WorkOrder","User not authorized to add WorkOrder"
"User not authorized to remove a resource","User not authorized to remove a resource"
"User not authorized to remove User","User not authorized to remove User"
"User not authorized to update a resource","User not authorized to update a resource"
"User not authorized to view a resource","User not authorized to view a resource"
"User Password","User Password"
"User should be already authenticated.","User should be already authenticated."
"Users","Users"
